,"-1,-1","-1,0","-1,1","0,-1","0,0","0,1","1,-1","1,0","1,1"
".x24y4|-3,3",0.0,0.0,-13.061599611968308,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-3,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-3,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-2,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-2,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-2,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-2,-2",0.0,0.0,0.0,-17.244539448169476,0.0,0.0,-0.5511,0.0,0.0
".x24y4|-2,-1",-19.99999999898847,-6.599999998043702,-19.999992354433605,-19.999999605310325,-19.81843375281541,0.0,-19.999999936687168,-19.93472412145467,-14.15384947350839
".x24y4|-2,0",-8.619100822625144,-9.774476620239245,-2.6067010605186134,-2.6067010605186134,-3.748695739919273,-2.850679925521499,-2.850679925521499,-4.154474150745373,-2.6067010605186134
".x24y4|-2,1",-5.074291371903747,-13.492362217737053,-17.289997703279862,-1.607051707337741,0.0,-11.830494453960313,0.0,0.0,-16.787392364899986
".x24y4|-2,2",-13.766003666931088,-19.830525800192135,-19.98690963218676,-6.598089468187856,-17.891110269046703,0.0,-6.59723647715818,-6.543365588619186,-4.171627568576493
".x24y4|-2,3",0.0,0.0,-13.951333175237234,0.0,0.0,-13.937808542159742,0.0,0.0,0.0
".x24y4|-2,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-2,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-1,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-1,-4",-6.515284534394125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-1,-3",-15.400159297219803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-1,-2",-18.999999659910568,-14.69835191182052,-5.836084945225729,0.0,0.0,0.0,-16.795325511437078,0.0,0.0
".x24y4|-1,-1",-17.289999999800692,-17.289999997835146,-17.123532058639828,-17.289999991043423,0.0,0.0,-17.289913503203632,-16.786209647372065,0.0
".x24y4|-1,0",-9.999995720735074,-9.999999999999977,-9.999999959668068,-9.985115440992661,-9.960611610516473,-9.960611610516473,-9.960611610516473,-9.960611610516473,-9.960611610516473
".x24y4|-1,1",-19.999422588389447,-19.999999999924427,-19.999999999254086,-19.9999963278685,-19.99811259205111,-19.999999999925844,-19.99999999996768,-19.995249723509293,-19.998997747665225
".x24y4|-1,2",-18.66708438977051,-19.994427161164584,-19.999999733537557,-6.576331609975863,-19.987979985569662,-19.999713534169597,-15.451740015959642,-19.13938513363462,0.0
".x24y4|-1,3",0.0,0.0,-19.00442806793273,0.0,0.0,-13.999674173824623,0.0,0.0,-5.3587914015912155
".x24y4|-1,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|-1,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|0,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|0,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|0,-3",0.0,0.0,0.0,-0.9576893700000001,-0.33,0.0,0.0,-0.33,0.0
".x24y4|0,-2",-0.9576893700000001,-0.9576893700000001,-0.9576893700000001,-9.65114302686999,-1.5446347953039303,-0.9576893700000001,-0.9576893700000001,-0.6491100000000001,-0.9576893700000001
".x24y4|0,-1",-9.999999999999977,-9.88853268832193,-9.88853268832193,-9.999999999999977,-9.88853268832193,-9.892211109607308,-9.999999990147176,-9.88853268832193,-9.892211109607308
".x24y4|0,0",-9.999999999709372,-9.999999999916033,-9.999999999204672,-9.999999999204672,-9.999999999989516,-9.999999999924075,-9.999999999992504,-9.999999999999977,-9.99999999917753
".x24y4|0,1",-19.999999881295683,-19.999999999924427,-19.999999980595682,-19.999999909231335,-19.99999999986105,-19.99999999895605,-19.99999999554474,-19.999999993132285,-19.999999996947633
".x24y4|0,2",-17.251068698536088,-19.933560771959435,-19.999999995594777,-18.320506801985037,-19.99998453523064,-19.999999015737334,-16.186146327236195,-19.9527310949702,-19.99900115277125
".x24y4|0,3",0.0,0.0,-15.073388971707065,0.0,0.0,-19.175506141861494,0.0,0.0,-15.898658936350637
".x24y4|0,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|0,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|1,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|1,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|1,-3",0.0,0.0,0.0,0.0,0.0,0.0,-18.968494416105816,0.0,0.0
".x24y4|1,-2",0.0,0.0,0.0,0.0,0.0,0.0,-18.99999801404781,-18.97424903022333,0.0
".x24y4|1,-1",-17.28337182682152,0.0,0.0,-17.289975546086957,0.0,0.0,-17.289999945352392,-17.289999998659997,-16.37418873964539
".x24y4|1,0",-13.103997986363755,-13.076695507262238,-13.054984214815699,-13.122341721441991,-13.124708130005839,-13.105243142455485,-13.122096599233275,-13.138098307734193,-13.137980933326142
".x24y4|1,1",-19.999999934844997,-19.99999988203137,-19.99999839359049,-19.999999998834152,-19.999999849204283,-19.999999999931525,-19.999997813830394,-19.999999998222176,-19.99999999925374
".x24y4|1,2",-10.995767077455344,-19.573305126342827,-19.922049699294554,-16.850449667235274,-19.999534098992324,-19.990559769671986,-15.881605570526286,-19.99878688429024,-19.999998254661723
".x24y4|1,3",0.0,0.0,-15.934868650382015,0.0,0.0,-10.669401752321946,0.0,0.0,-18.50983409106118
".x24y4|1,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|1,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|2,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|2,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|2,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|2,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|2,-1",-5.556752087881531,0.0,0.0,-16.32677218964026,0.0,0.0,-17.289770973906307,0.0,0.0
".x24y4|2,0",-14.278008217560107,-7.557261106972041,-4.645465140761218,-9.54795286776446,-13.162529032319135,-5.9517277111569795,-15.843793770114011,-15.899112098894332,-8.749886568463726
".x24y4|2,1",-15.891051339509907,-19.999999998917534,-19.999875148227737,-19.79344967884917,-18.720527799539134,-19.99996052268691,-19.99996098900105,-19.99986751103035,-19.999995940163668
".x24y4|2,2",-10.798055172055417,-6.59999999997333,-19.99989583063263,0.0,-15.96825104713847,-19.301170216251638,-11.021999916996347,-19.963315417294876,-19.99546851547027
".x24y4|2,3",0.0,0.0,0.0,0.0,0.0,-18.364423718696457,0.0,0.0,-19.430221163960248
".x24y4|2,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|2,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|3,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|3,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|3,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|3,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|3,-1",-3.7129020885122297,0.0,0.0,-11.547542790836834,0.0,0.0,-17.864733310213083,0.0,0.0
".x24y4|3,0",-1.7487049198374023,-5.846220580804006,-2.1019103855404273,-13.946668272673575,-4.9752469748196875,-0.9983510904124375,-14.753317481442249,-15.51574900146149,-1.4314115399731002
".x24y4|3,1",-0.6253717207651671,-0.9999972810971721,-13.684896023460272,-1.10213865993,-12.54353279107552,-13.39910501441401,-6.723453342198846,-13.571060217848212,-16.663851885885084
".x24y4|3,2",0.0,0.0,-6.566894208431613,0.0,0.0,-19.79475500133759,0.0,-19.455860146752464,-19.656825032742343
".x24y4|3,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.49574627735991
".x24y4|3,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|3,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|4,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|4,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|4,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|4,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x24y4|4,-1",0.0,0.0,0.0,-1.3354772458231305,0.0,0.0,-7.901279104896507,0.0,0.0
