,"-1,-1","-1,0","-1,1","0,-1","0,0","0,1","1,-1","1,0","1,1"
".x9y22|-2,0",-13.430533707801061,-17.105310381763086,-25.83789916939827,-17.963749793561455,-18.953750184454677,-24.403715723616475,-24.586971141910254,-18.23474156694012,-18.79185589926161
".x9y22|-2,1",-20.29264775835907,-26.303161045663156,-26.696643610532014,-16.99327378205422,-27.598915111497572,-28.47711506593321,-20.00157846222169,-24.614050561033135,-27.29551146492532
".x9y22|-2,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-2,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-2,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-2,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-1,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-1,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-1,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-1,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-1,-1",-28.069878187505452,-21.41655933767804,-15.83232057016907,-27.964062191076344,-28.21170231651403,-21.80721929247605,-21.07016196870212,-21.86543045194668,-21.525335067268063
".x9y22|-1,0",-19.132077180685428,-17.910539040845435,-23.81381158778889,-25.273939116319543,-17.66478233681347,-20.32951388728078,-14.244250323478836,-19.416881933518944,-18.940927964738464
".x9y22|-1,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-1,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-1,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-1,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|-1,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x9y22|0,-5",-22.65993452807828,-15.072962547432036,-27.38811404552534,-15.81270830988505,-14.921106329793854,-14.036098073775467,-17.93273444600943,-22.322534475785087,-20.795069607525647
