,"-1,-1","-1,0","-1,1","0,-1","0,0","0,1","1,-1","1,0","1,1"
".x2y4|-4,0",0.0,-0.6,-0.8999999999999999,-0.3,-0.3,-0.3,0.0,-0.3,0.0
".x2y4|-4,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-4,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-4,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-4,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-3,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-3,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-3,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-3,-2",-14.86929000000001,0.0,0.0,-5.648999999999999,0.0,0.0,-14.396999999999991,0.0,0.0
".x2y4|-3,-1",-15.512430000000009,-35.46412991508001,-14.234999999999992,-15.789450000000015,-28.339589999999905,0.0,-10.930260000000004,0.0,0.0
".x2y4|-3,0",-0.3,-0.3,-0.8999999999999999,0.0,-0.6,-2.4,0.0,0.0,0.0
".x2y4|-3,1",-9.375000000000009,0.0,-12.629640000000006,0.0,0.0,0.0,0.0,0.0,-7.836000000000006
".x2y4|-3,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-3,3",0.0,-3.7049999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-3,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-3,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-2,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-2,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-2,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-2,-2",0.0,0.0,0.0,-7.836000000000006,0.0,0.0,-8.95143,0.0,0.0
".x2y4|-2,-1",-45.005239079562045,-14.31599999999999,-13.293030000000007,-19.418569200000007,-55.30510871699978,-13.020000000000003,-14.072999999999995,-26.815464899999984,-10.67100000000001
".x2y4|-2,0",-0.8999999999999999,-3.2999999999999994,0.0,0.0,-0.3,-0.6,0.0,-0.3,-1.5
".x2y4|-2,1",-7.85469,-22.830389919630015,-30.299022866926226,0.0,0.0,-13.826820000000012,0.0,0.0,-11.725680000000004
".x2y4|-2,2",0.0,-8.889000000000006,-14.826938400000007,0.0,0.0,0.0,0.0,0.0,-8.808000000000007
".x2y4|-2,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-2,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-2,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-1,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-1,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-1,-3",-13.995016337301285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-1,-2",-21.009084233388535,-12.802800691694678,0.0,0.0,0.0,0.0,-7.9738299578964,0.0,0.0
".x2y4|-1,-1",-35.31079213083617,-33.05986160388268,-0.519,-20.135330503394215,0.0,0.0,-16.811066994714615,-3.0941558069999995,0.0
".x2y4|-1,0",-4.499999999999999,-42.299999999999955,-8.099999999999998,-2.4,-3.2999999999999994,-2.4,-2.4,-2.1,-4.499999999999999
".x2y4|-1,1",-28.66060211736198,-31.442102390794272,-32.10556208598431,-19.928237862876305,-27.398706270000005,-29.747835672776908,-11.004780000000006,-7.755000000000004,-15.639417000000007
".x2y4|-1,2",0.0,-23.708613045473758,-21.05502533994001,0.0,-13.863824100000006,-24.94361137388932,-3.786,0.0,-4.271999999999999
".x2y4|-1,3",0.0,0.0,-7.138649999999999,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-1,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|-1,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|0,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|0,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|0,-3",0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
".x2y4|0,-2",0.0,0.0,-0.3,-6.299999999999998,-0.3,0.0,0.0,0.0,-0.3
".x2y4|0,-1",-12.90000000000001,-2.6999999999999997,-2.9999999999999996,-62.09999999999977,-4.799999999999999,-3.2999999999999994,-12.300000000000008,-3.2999999999999994,-2.9999999999999996
".x2y4|0,0",-21.00000000000003,-22.800000000000033,-20.400000000000027,-21.30000000000003,-37.5,-22.20000000000003,-20.400000000000027,-21.00000000000003,-20.700000000000028
".x2y4|0,1",-29.790908623678664,-27.607916135632582,-31.854686228258906,-21.40445519781202,-37.914179725615234,-32.00562366472875,-23.450884177601562,-29.489733080299832,-26.69808725731489
".x2y4|0,2",-10.825770000000002,-18.85842990000001,-25.48616254115785,-11.180550000000004,-14.926957200000004,-28.038332670005023,-14.574582900000005,-17.727306863082912,-19.079954353826103
".x2y4|0,3",0.0,0.0,-12.305640000000004,0.0,0.0,-18.45140285400001,0.0,0.0,-7.81095
".x2y4|0,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|0,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|1,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|1,-4",0.0,0.0,0.0,0.0,0.0,0.0,-10.67100000000001,0.0,0.0
".x2y4|1,-3",0.0,0.0,0.0,0.0,0.0,0.0,-5.570583811740001,0.0,0.0
".x2y4|1,-2",0.0,0.0,0.0,0.0,0.0,0.0,-31.381788583215503,-10.717986344611289,0.0
".x2y4|1,-1",0.0,0.0,0.0,-14.244103508832147,0.0,0.0,-25.817919490545652,-11.354818485758825,-1.2844112729717614
".x2y4|1,0",-3.360681150303342,-3.350148409605925,-3.44241928586209,-3.9184223450588442,-4.722511282704611,-3.391453786526478,-7.524545976343202,-23.444143553919695,-8.785136604451324
".x2y4|1,1",-19.101653363730005,-26.408099554015518,-19.386447747780007,-20.441826433716308,-32.058226309428925,-32.90569270942899,-21.71072227156856,-27.11253386365872,-32.329018124155944
".x2y4|1,2",0.0,-7.917000000000005,-6.540000000000001,-13.225860000000003,-15.893109000000008,-25.457624677866317,-11.495640000000005,-6.2970000000000015,-26.56115135542226
".x2y4|1,3",0.0,0.0,0.0,0.0,0.0,-14.579189754000001,0.0,0.0,-19.968881760712804
".x2y4|1,4",0.0,0.0,-3.786,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|1,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|2,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|2,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|2,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|2,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|2,-1",0.0,0.0,0.0,0.0,0.0,0.0,-16.763395970853857,0.0,0.0
".x2y4|2,0",0.0,0.0,0.0,0.0,0.0,0.0,-1.520372506159334,-3.8731563694482167,0.0
".x2y4|2,1",0.0,0.0,0.0,0.0,0.0,0.0,-13.506120000000003,-18.663508970459322,-24.433635846977037
".x2y4|2,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.621000000000002,-23.437198672162207
".x2y4|2,3",0.0,0.0,0.0,0.0,-4.515,0.0,-7.917000000000005,-4.677,-15.86530980000001
".x2y4|2,4",0.0,0.0,0.0,0.0,0.0,-7.755000000000004,0.0,0.0,0.0
".x2y4|2,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|3,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|3,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|3,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|3,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|3,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|3,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|3,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|3,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|3,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|3,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|3,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|4,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|4,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|4,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|4,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|4,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|4,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|4,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|4,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|4,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|4,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|4,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|5,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|5,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|5,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|5,-2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|5,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|5,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|5,1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|5,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|5,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|5,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x2y4|5,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x3y4|-5,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x3y4|-5,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x3y4|-5,-3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x3y4|-5,-2",0.0,-12.37200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x3y4|-5,-1",0.0,-11.805000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x3y4|-5,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x3y4|-5,1",0.0,0.0,-7.0260000000000025,0.0,0.0,0.0,0.0,0.0,0.0
".x3y4|-5,2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x3y4|-5,3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x3y4|-5,4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x3y4|-5,5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x3y4|-4,-5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
".x3y4|-4,-4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
